x,y,w,h,aspect_ratio,ground_truth,predicted
140,67,53,53,1.0,right,center
140,64,54,54,1.0,right,center
54,65,52,52,1.0,left,center
140,68,53,53,1.0,right,center
52,67,54,54,1.0,left,right
139,68,53,53,1.0,right,center
49,66,55,55,1.0,left,center
92,160,23,23,1.0,center,center
140,68,52,52,1.0,right,center
49,65,54,54,1.0,left,center
141,68,51,51,1.0,right,center
50,64,55,55,1.0,left,center
145,68,51,51,1.0,right,center
53,63,56,56,1.0,left,right
140,69,50,50,1.0,right,center
48,63,56,56,1.0,left,left
145,71,50,50,1.0,right,center
51,63,57,57,1.0,left,left
142,69,52,52,1.0,right,center
53,63,58,58,1.0,left,center
143,76,50,50,1.0,right,center
53,69,56,56,1.0,left,center
149,77,50,50,1.0,right,center
59,71,56,56,1.0,center,left
143,73,49,49,1.0,right,center
52,64,57,57,1.0,left,center
149,78,47,47,1.0,right,center
58,69,57,57,1.0,center,left
183,20,46,46,1.0,right,center
120,198,45,45,1.0,center,center
147,79,46,46,1.0,right,center
57,69,56,56,1.0,left,center
145,78,46,46,1.0,right,center
53,68,56,56,1.0,left,center
146,77,46,46,1.0,right,center
55,66,59,59,1.0,left,center
121,200,41,41,1.0,center,right
53,63,58,58,1.0,left,left
143,74,47,47,1.0,right,center
121,198,39,39,1.0,center,center
144,72,45,45,1.0,right,center
54,62,56,56,1.0,center,left
126,200,35,35,1.0,center,center
148,76,44,44,1.0,right,center
57,64,57,57,1.0,center,center
140,69,45,45,1.0,right,center
49,57,57,57,1.0,left,left
138,67,44,44,1.0,right,center
48,56,57,57,1.0,left,left
143,68,44,44,1.0,right,center
50,56,58,58,1.0,left,center
146,76,45,45,1.0,right,center
56,65,55,55,1.0,left,left
144,72,46,46,1.0,right,center
56,62,56,56,1.0,center,center
148,79,45,45,1.0,right,center
58,69,56,56,1.0,center,center
62,71,57,57,1.0,center,center
149,81,46,46,1.0,right,center
126,203,44,44,1.0,center,right
58,69,54,54,1.0,center,center
142,78,44,44,1.0,right,right
148,78,47,47,1.0,right,center
66,70,56,56,1.0,center,center
132,210,28,28,1.0,center,center
60,69,53,53,1.0,center,center
140,75,50,50,1.0,right,right
173,16,46,46,1.0,right,right
55,71,54,54,1.0,left,center
139,78,49,49,1.0,right,right
51,69,53,53,1.0,left,center
140,76,45,45,1.0,right,center
173,15,45,45,1.0,right,right
141,73,47,47,1.0,right,center
53,64,56,56,1.0,left,center
141,75,46,46,1.0,right,center
53,69,54,54,1.0,left,center
141,74,49,49,1.0,right,center
54,67,56,56,1.0,left,center
134,69,48,48,1.0,right,center
46,63,54,54,1.0,left,center
48,66,56,56,1.0,left,center
134,70,49,49,1.0,right,center
117,200,35,35,1.0,center,center
141,81,49,49,1.0,center,center
54,76,56,56,1.0,left,center
145,80,49,49,1.0,right,center
56,75,56,56,1.0,left,center
144,77,48,48,1.0,right,center
54,71,56,56,1.0,left,center
141,72,49,49,1.0,right,center
52,68,56,56,1.0,left,center
57,73,56,56,1.0,left,left
146,77,49,49,1.0,right,center
187,13,46,46,1.0,right,center
121,209,40,40,1.0,center,center
146,74,48,48,1.0,right,center
56,69,55,55,1.0,left,left
146,74,50,50,1.0,right,center
58,70,55,55,1.0,left,center
144,69,50,50,1.0,right,center
55,65,55,55,1.0,left,center
127,206,29,29,1.0,center,center
141,70,50,50,1.0,right,center
51,66,55,55,1.0,left,center
144,72,50,50,1.0,right,center
129,213,28,28,1.0,center,center
186,9,46,46,1.0,right,center
55,67,56,56,1.0,left,center
144,74,50,50,1.0,right,center
53,67,59,59,1.0,left,center
119,206,40,40,1.0,center,center
139,68,49,49,1.0,right,center
124,210,27,27,1.0,center,center
177,4,46,46,1.0,right,right
46,61,60,60,1.0,left,left
141,70,51,51,1.0,right,center
121,205,36,36,1.0,center,right
53,64,57,57,1.0,left,right
143,71,49,49,1.0,right,center
52,64,58,58,1.0,left,center
145,73,50,50,1.0,right,center
53,66,59,59,1.0,left,center
120,203,40,40,1.0,center,center
144,70,48,48,1.0,right,center
124,203,35,35,1.0,center,center
50,63,58,58,1.0,left,center
140,69,50,50,1.0,right,center
120,200,39,39,1.0,center,right
50,63,57,57,1.0,left,center
146,79,47,47,1.0,right,center
121,209,37,37,1.0,center,center
55,69,59,59,1.0,left,center
140,78,48,48,1.0,right,center
50,70,58,58,1.0,left,center
141,72,47,47,1.0,right,center
50,62,59,59,1.0,left,center
141,72,47,47,1.0,right,center
50,61,58,58,1.0,left,center
141,74,49,49,1.0,right,center
51,65,59,59,1.0,left,center
133,213,26,26,1.0,center,right
144,76,49,49,1.0,right,center
54,68,59,59,1.0,left,center
146,75,47,47,1.0,right,center
55,65,59,59,1.0,left,left
145,80,46,46,1.0,right,center
55,70,57,57,1.0,left,center
126,207,43,43,1.0,center,center
54,69,60,60,1.0,left,left
144,78,49,49,1.0,right,center
149,83,47,47,1.0,right,right
60,73,58,58,1.0,left,left
127,213,40,40,1.0,center,center
65,74,58,58,1.0,center,left
155,84,48,48,1.0,right,center
149,80,47,47,1.0,right,center
58,71,59,59,1.0,left,left
50,63,60,60,1.0,left,center
137,73,46,46,1.0,right,center
148,70,49,49,1.0,right,center
53,68,63,63,1.0,left,left
158,77,46,46,1.0,right,center
60,64,68,68,1.0,center,left
159,78,47,47,1.0,right,center
63,66,66,66,1.0,center,left
141,212,41,41,1.0,center,center
155,74,48,48,1.0,right,center
58,63,66,66,1.0,center,left
157,74,49,49,1.0,right,center
59,62,67,67,1.0,center,left
152,72,49,49,1.0,right,center
53,61,67,67,1.0,left,left
130,209,44,44,1.0,center,center
54,62,68,68,1.0,left,left
150,72,51,51,1.0,right,center
142,76,49,49,1.0,right,center
44,66,66,66,1.0,left,left
56,67,64,64,1.0,left,left
153,78,48,48,1.0,right,center
146,78,48,48,1.0,right,center
50,68,64,64,1.0,left,left
149,76,48,48,1.0,right,center
53,66,63,63,1.0,left,left
147,77,48,48,1.0,right,center
53,67,64,64,1.0,left,center
150,77,48,48,1.0,right,center
55,66,63,63,1.0,left,center
130,213,39,39,1.0,center,center
130,215,33,33,1.0,center,center
146,75,49,49,1.0,right,center
50,66,64,64,1.0,left,center
147,74,49,49,1.0,right,center
53,64,63,63,1.0,left,center
124,207,41,41,1.0,center,center
145,77,48,48,1.0,right,center
51,68,62,62,1.0,left,left
52,68,62,62,1.0,left,center
144,76,49,49,1.0,right,center
126,209,45,45,1.0,center,center
146,75,47,47,1.0,right,center
51,66,60,60,1.0,left,left
150,80,45,45,1.0,right,center
55,70,60,60,1.0,left,left
131,212,38,38,1.0,center,center
53,70,60,60,1.0,left,left
146,77,49,49,1.0,right,center
134,218,33,33,1.0,center,center
52,68,63,63,1.0,left,left
146,78,49,49,1.0,right,center
149,80,45,45,1.0,right,center
53,69,61,61,1.0,left,center
150,79,48,48,1.0,right,center
181,8,51,51,1.0,right,right
55,69,61,61,1.0,left,left
150,77,47,47,1.0,right,center
56,68,61,61,1.0,left,left
150,79,48,48,1.0,right,center
55,69,61,61,1.0,left,left
130,212,40,40,1.0,center,center
148,79,47,47,1.0,right,center
54,70,61,61,1.0,left,left
149,79,47,47,1.0,right,center
55,70,59,59,1.0,left,center
130,209,42,42,1.0,center,center
148,79,48,48,1.0,right,center
55,70,60,60,1.0,left,center
155,79,48,48,1.0,right,center
60,69,61,61,1.0,center,center
149,78,46,46,1.0,right,center
56,68,60,60,1.0,left,center
127,212,35,35,1.0,center,center
153,77,48,48,1.0,right,center
139,217,32,32,1.0,center,center
61,69,60,60,1.0,center,left
186,11,46,46,1.0,right,right
134,211,37,37,1.0,center,right
149,74,49,49,1.0,right,center
58,67,60,60,1.0,left,center
152,76,49,49,1.0,right,center
136,209,40,40,1.0,center,right
59,68,62,62,1.0,center,center
152,76,47,47,1.0,right,center
58,67,59,59,1.0,left,center
124,200,49,49,1.0,center,right
152,78,47,47,1.0,right,center
58,70,59,59,1.0,left,center
185,12,47,47,1.0,right,right
152,78,47,47,1.0,right,center
57,69,60,60,1.0,left,left
184,10,47,47,1.0,right,right
151,76,47,47,1.0,right,center
184,8,47,47,1.0,right,right
58,68,59,59,1.0,left,left
145,75,48,48,1.0,right,center
179,9,48,48,1.0,right,right
52,67,60,60,1.0,left,center
156,78,47,47,1.0,right,center
140,218,31,31,1.0,center,left
133,208,44,44,1.0,center,center
186,10,49,49,1.0,right,right
60,68,63,63,1.0,center,center
148,76,48,48,1.0,right,center
181,9,46,46,1.0,right,right
54,68,60,60,1.0,left,center
127,206,44,44,1.0,center,right
154,76,48,48,1.0,right,center
60,66,61,61,1.0,center,center
188,8,48,48,1.0,right,right
132,205,46,46,1.0,center,right
158,75,50,50,1.0,right,center
64,68,61,61,1.0,center,left
148,73,48,48,1.0,right,center
126,198,48,48,1.0,center,right
54,63,62,62,1.0,left,center
154,76,47,47,1.0,right,center
60,67,60,60,1.0,center,center
132,205,45,45,1.0,center,center
188,9,45,45,1.0,right,right
149,75,48,48,1.0,right,center
56,67,60,60,1.0,left,center
183,9,47,47,1.0,right,right
56,67,60,60,1.0,left,center
132,210,39,39,1.0,center,right
148,77,48,48,1.0,right,center
152,76,48,48,1.0,right,center
58,67,60,60,1.0,left,left
59,67,61,61,1.0,center,center
151,75,49,49,1.0,right,center
130,203,48,48,1.0,center,center
153,78,47,47,1.0,right,center
57,67,63,63,1.0,left,left
131,208,42,42,1.0,center,right
