x,y,w,h,eye_x,eye_y
543,129,296,296,608,247
544,129,295,295,750,241
544,129,295,295,637,243
544,129,295,295,607,246
546,128,296,296,754,241
546,128,296,296,638,241
550,129,293,293,755,239
550,129,293,293,636,240
547,126,297,297,758,239
547,126,297,297,638,240
549,126,300,300,760,239
549,126,300,300,711,241
549,126,300,300,643,239
546,121,304,304,659,236
546,121,304,304,720,243
546,121,304,304,756,237
546,121,304,304,642,238
548,120,300,300,755,236
548,120,300,300,636,237
545,122,297,297,658,237
545,122,297,297,633,236
545,122,297,297,754,236
540,122,300,300,751,235
540,122,300,300,630,237
540,122,300,300,651,241
543,122,298,298,753,237
543,122,298,298,704,235
543,122,298,298,638,240
546,124,293,293,752,238
546,124,293,293,639,239
546,124,293,293,706,238
547,125,293,293,754,237
547,125,293,293,640,238
547,125,293,293,609,239
546,124,295,295,753,237
546,124,295,295,640,239
543,118,300,300,756,237
543,118,300,300,641,238
543,118,300,300,755,236
543,118,300,300,636,238
545,119,297,297,754,236
545,119,297,297,638,237
542,119,302,302,754,236
542,119,302,302,707,239
542,119,302,302,639,236
542,119,302,302,610,237
544,119,300,300,755,235
544,119,300,300,660,238
544,119,300,300,637,236
549,121,296,296,758,236
549,121,296,296,637,236
549,120,301,301,642,237
549,120,301,301,758,236
549,120,301,301,707,234
549,120,302,302,758,237
549,120,302,302,644,237
551,119,304,304,759,237
551,119,304,304,712,239
551,119,304,304,657,238
551,119,304,304,633,240
549,120,309,309,717,242
549,120,309,309,758,237
549,120,309,309,643,238
550,125,301,301,641,240
550,125,301,301,757,239
552,127,298,298,756,239
552,127,298,298,638,240
551,129,295,295,642,240
551,129,295,295,757,239
551,129,295,295,713,246
551,129,295,295,610,244
550,124,301,301,757,239
550,124,301,301,640,240
550,124,301,301,659,240
551,125,295,295,754,238
551,125,295,295,638,240
545,124,297,297,754,237
545,124,297,297,637,239
544,123,295,295,750,235
544,123,295,295,648,237
544,123,295,295,626,237
545,124,285,285,741,233
545,124,285,285,694,236
545,124,285,285,627,235
531,123,287,287,730,231
531,123,287,287,608,238
531,123,287,287,632,235
525,121,282,282,718,232
525,121,282,282,605,237
511,122,286,286,707,231
511,122,286,286,593,236
507,115,291,291,702,228
507,115,291,291,592,236
504,119,287,287,702,228
504,119,287,287,591,234
511,123,280,280,699,227
511,123,280,280,591,233
504,116,288,288,700,226
504,116,288,288,589,231
504,116,288,288,612,231
504,104,298,298,704,223
504,104,298,298,596,230
518,114,270,270,711,219
518,114,270,270,596,227
518,102,286,286,714,214
518,102,286,286,600,220
524,104,275,275,718,210
524,104,275,275,675,212
524,104,275,275,601,217
520,84,300,300,671,206
520,84,300,300,723,203
520,84,300,300,605,211
522,82,301,301,670,202
522,82,301,301,731,202
522,82,301,301,618,207
520,79,324,324,697,205
520,79,324,324,742,207
520,79,324,324,625,210
522,85,325,325,695,208
527,88,340,340,657,225
527,88,340,340,755,226
546,105,322,322,766,229
546,105,322,322,649,227
546,105,322,322,660,359
559,110,313,313,655,229
559,110,313,313,775,232
555,105,330,330,783,234
555,105,330,330,665,234
571,119,315,315,793,238
571,119,315,315,667,238
561,113,334,334,794,241
561,113,334,334,669,240
567,121,326,326,672,243
567,121,326,326,798,244
560,119,332,332,692,384
560,119,332,332,798,246
560,119,332,332,672,245
567,125,325,325,799,247
567,125,325,325,668,246
570,129,317,317,796,246
570,129,317,317,666,247
571,130,315,315,796,247
571,130,315,315,668,247
573,132,310,310,797,248
573,132,310,310,667,247
573,132,310,310,771,248
571,127,308,308,796,248
571,127,308,308,670,247
572,132,311,311,796,246
572,132,311,311,668,246
570,125,322,322,667,245
570,125,322,322,796,245
570,125,322,322,773,251
569,122,317,317,795,245
569,122,317,317,663,245
569,122,317,317,690,243
571,123,314,314,791,242
571,123,314,314,664,242
549,111,341,341,663,241
549,111,341,341,788,241
543,109,347,347,786,239
543,109,347,347,657,239
548,111,334,334,785,237
548,111,334,334,656,238
548,108,336,336,783,237
548,108,336,336,654,237
551,113,334,334,655,238
551,113,334,334,782,237
550,107,339,339,657,238
550,107,339,339,782,237
557,116,322,322,782,238
557,116,322,322,652,238
542,108,340,340,776,239
542,108,340,340,652,239
542,117,333,333,776,241
542,117,333,333,649,240
541,116,329,329,772,242
541,116,329,329,647,242
535,114,334,334,768,243
535,114,334,334,644,242
541,120,323,323,767,242
541,120,323,323,644,242
541,119,327,327,768,244
541,119,327,327,645,243
544,124,322,322,647,244
544,124,322,322,769,245
538,118,334,334,769,243
538,118,334,334,651,244
547,121,321,321,770,244
547,121,321,321,649,243
551,121,318,318,771,244
551,121,318,318,650,244
551,121,318,318,618,244
547,120,299,299,757,233
547,120,299,299,641,231
536,114,293,293,739,225
536,114,293,293,697,225
536,114,293,293,622,226
527,111,285,285,721,223
527,111,285,285,609,225
509,109,288,288,708,221
509,109,288,288,595,225
497,116,278,278,693,222
497,116,278,278,577,228
487,115,288,288,678,224
487,115,288,288,569,229
